Date,Type,Description
2023-04-17 12:35:35.89465, extracurricular programming, add csv functionality to good_job
2023-04-17 12:37:45.577815, extracurricular programming, fix formatting issues with csv file
2023-04-17 12:43:38.046103, extracurricular programming, fix more formatting issues. Wrote to do list for next session
2023-04-17 14:36:29.969206, extracurricular programming, Add number input for type selection
2023-04-17 15:22:34.388021, extracurricular programming, Fix github bugs/errors
2023-04-17 15:43:08.935331, school, Read PSY journal article for mindfulness seminar
2023-04-17 16:18:26.057655, school, Read more of the article and made discussion questions. Emailed Professor about grading mixup
2023-04-17 16:54:11.923676, extracurricular programming, Improve sound code; clean main through abstraction; comment code
2023-04-19 09:53:54.294098, school programming, lab2; OOP basics
2023-04-19 09:54:18.556468, school programming, lab 2; class extensions
2023-04-19 09:54:32.566315, school programming, lab2 more OOP
2023-04-19 09:54:47.133046, school programming, lab2 polymorphism is cool
2023-04-19 11:34:10.985255, school programming, Study recursion
2023-04-19 12:09:14.989440, school programming, Recursion studying and practice problems
2023-04-19 12:33:56.801984, school programming, More recursion studying; working on frog problem
2023-04-20 15:20:24.624950, school, Big Five essay prewrite
2023-04-20 15:20:50.491554, school programming, Java class/objects practice; CSS145 HW2
2023-04-20 16:22:09.130822, school, Find articles for running/mindfulness annotated bibliography
2023-04-20 16:53:49.853584, odin, Study dynamic divs and work on etch a sketch
2023-04-20 17:25:48.404063, odin, More etch a sketch; adding styles to grid
2023-04-20 17:54:15.248974, odin, Got grid up using loops
2023-04-20 18:26:41.959301, odin, Add event listeners
2023-04-21 12:00:15.738646, school programming, work on HW2; compleat adventure; oop fundamentals
2023-04-21 15:06:26.409476, school, Annotated bibliography
2023-04-21 15:38:32.500703, school, More annotated lib
2023-04-21 16:13:28.290355, school, finish annotated lib
2023-04-24 14:58:27.898117, school, Body scan meditation; writing 1-pager
2023-04-24 15:30:25.092816, school, Finish 1-pager
2023-04-24 16:01:27.973116, school programming, Fantasy adventure text game
2023-04-24 16:27:09.489128, school programming, Finish homework 2; Compleat adventure
2023-04-25 12:11:08.138115, school programming, Work on matrix maniuplation lab
2023-04-25 12:40:07.452561, school programming, matrix manipulation lab
2023-04-25 15:04:29.649188, school programming, matrix manipulation lab
2023-04-25 15:36:39.679292, school programming, matrix manipulation lab
2023-04-25 16:07:01.451245, school programming, matrix manipulation lab
2023-04-25 16:24:19.852080, school programming, Finished matrix manipulation lab!
2023-04-27 12:13:02.042076, school, loving kindness meditation paper
2023-05-01 09:39:24.116198, school programming, Recursion Practice
2023-05-01 09:39:38.679270, school programming, More Recursion practice: Tower of Hanoi problem
2023-05-01 11:53:37.141899, school, 1-pager on loving-kindness meditation
2023-05-01 12:32:17.653624, school, Researching Parkinson's for seminar presentation
2023-05-01 12:48:50.619975, school, More Parkinson's research
2023-05-01 15:18:59.872991, school, Study Parkinson's for presentation
2023-05-01 15:53:46.265525, school, Writing Presentation for Mental-health seminar
2023-05-01 16:25:18.843942, school, Writing presentation
2023-05-01 16:52:28.775847, school, Finished presentation prewrite
2023-05-02 12:37:24.025972, school, Discussion questions for meditation psych
2023-05-02 13:10:16.926525, school programming, recursion lab
2023-05-02 13:40:21.830878, school programming, Recursion exercise lab
2023-05-02 14:10:49.862713, school programming, recursion lab
2023-05-02 19:23:55.142645, school, Telomere paper presentation
2023-05-02 20:00:50.590990, school, Finish telomere presentation
2023-05-02 22:35:14.731615, school, Literature review on cardiovascular health and meditation
2023-05-02 22:35:34.379485, school, finished lit review on cv health and meditation
2023-05-03 11:54:19.447582, school, Practice telomere presentation
2023-05-03 12:52:07.883919, school programming, Recursion practice homework
2023-05-03 12:54:46.704697, school programming, Recursion practie homework part 2
2023-05-04 12:35:21.223736, school programming, Harmonic numbers recursion
2023-05-04 13:11:25.991737, school programming, harmonic recursion
2023-05-04 13:41:31.398247, school programming, harmonic recursion
2023-05-04 14:12:39.203274, school programming, harmonic recursion
2023-05-04 15:38:21.379807, school, Annotated bib for Big Five
2023-05-04 16:08:47.818903, school, Finish Annotated Bib
2023-05-05 11:45:17.171902, school, Methods section for paper
2023-05-05 14:53:02.749590, school, Method section of papper
2023-05-05 15:21:23.670083, school, paper methods section
2023-05-05 15:51:05.860366, school, finish method outline
2023-05-05 16:39:01.566095, school, Read Altered Traits chapter 8
2023-05-05 18:20:14.292148, school, Writing and discussion questions
2023-05-08 08:41:18.461779, school, Made presentation for Psychology
2023-05-08 09:26:48.327249, school, Writing paper for psych
2023-05-08 11:48:52.713048, school, Wrote 1-pager for Psychology
2023-05-08 12:21:35.182723, school programming, Linked list infinite playlist HW
2023-05-08 19:26:57.200693, school programming, Linked list HW
2023-05-09 13:07:26.593326, school programming, Linked list labs
2023-05-09 13:39:25.909194, school programming, Linked List lab
2023-05-09 14:11:01.380119, school programming, Linked List lab
2023-05-09 14:40:10.186418, school programming, Linked list lab
2023-05-09 23:42:50.054474, extracurricular programming, 2d game java
2023-05-10 11:57:40.987059, extracurricular programming, 2d game
2023-05-10 12:25:23.596060, extracurricular programming, 2d games; learn about packages and threads; got screen working
2023-05-16 12:13:25.544101, school, Read article for Health Psych
2023-05-16 12:44:30.853603, school programming, Finish readings; start matrix lab for cs
2023-05-16 13:37:37.993877, school programming, Matrix lab
2023-05-16 13:38:21.389276, school programming, Matrix lab(forgot to log and kept working on accident)
2023-05-16 14:14:19.590588, school programming, Matrix lab
2023-05-16 14:44:39.192367, school programming, matrx lab
2023-05-18 12:33:15.389356, school, Big Five essay prewrite
2023-05-18 13:04:26.625536, school, Big five essay prewrite and research
2023-05-18 13:36:09.902226, school, Big five essay writing
2023-05-18 15:11:39.115212, school, Writing big five essay
2023-05-18 15:42:06.401362, school, Write big five personality essay
2023-05-18 16:12:43.175738, school, write essay more
2023-05-18 16:47:23.345649, school, Writing big five essay
2023-05-18 19:05:27.927812, school, Writing Big Five essay
2023-05-18 19:59:48.019162, school, Finished draft of essay
2023-05-18 21:05:46.078442, school, Formatting big five essay
2023-05-18 21:58:47.906287, school programming, jagged arrays
2023-05-22 15:43:07.343974, school programming, Implmenting collections framework
2023-05-22 16:39:02.187732, school programming, queue programming collections framework
2023-05-23 16:07:03.367169, school programming, Bag lab; object making
2023-05-23 16:29:24.083383, school programming, Lab7: Creating a general data structure "bag"
2023-05-24 11:43:26.195611, school programming, Textcleaner method for lab
2023-05-24 11:43:44.941163, school programming, Forgot to record: Build textcleaner for final project
2023-05-24 11:44:21.906163, school programming, Forgot to record: Build textcleaner for final project
2023-05-24 11:44:30.764449, school programming, Forgot to record: Build textcleaner for final project
2023-05-24 11:44:39.161968, school programming, Forgot to record: Build textcleaner for final project
2023-05-24 11:44:47.699418, school programming, Forgot to record: Build textcleaner for final project
2023-05-24 12:17:07.007411, school programming, research data structures for search engine storage
2023-05-24 15:08:59.761332, school programming, Constructed Queue data structure
2023-05-24 15:39:31.865424, school programming, construct limited queue data structure
2023-05-24 16:11:11.944109, school programming, Building Set data structure
2023-05-24 16:48:26.420748, school programming, Set data construcot
2023-05-31 13:16:37.451573, school programming, Forgot to log final project hours
2023-05-31 13:17:04.544916, school programming, Forgot to log final project hours
2023-05-31 13:17:13.379202, school programming, Forgot to log final project hours
2023-05-31 13:17:20.902838, school programming, Forgot to log final project hours
2023-05-31 13:17:29.882780, school programming, Forgot to log final project hours
2023-05-31 13:17:37.211089, school programming, Forgot to log final project hours
2023-05-31 13:17:47.185922, school programming, Forgot to log final project hours
2023-05-31 13:17:54.508678, school programming, Forgot to log final project hours
2023-06-01 15:07:04.077765, school programming, Pseudocode web crawler
2023-06-01 15:07:51.678504, school programming, Pseudocode web crawler
2023-06-01 15:07:59.604920, school programming, Pseudocode web crawler
2023-06-01 15:08:06.889702, school programming, Pseudocode web crawler
2023-06-01 15:08:14.390394, extracurricular programming, Troubleshoot MacOS update breaking Pycharm
2023-06-20 15:09:54.017440, school programming, Studying sets; memberships; and subsets
2023-06-20 15:43:40.697290, school programming, Study Subsets; set equality; membership vs subset practice problems
2023-06-21 15:03:54.231632, school programming, Truth tables; logic
2023-06-22 14:35:53.425647, school programming, Research Functional Programming pros/cons
2023-06-23 13:42:45.564733, school programming, Researching Time Complexity
2023-06-23 14:41:44.109053, school programming, Big O notation
2023-06-23 15:09:55.053409, school programming, Asymptotic Analysis
2023-09-20 17:31:29.050972, extracurricular programming, Reviewing OOP principles and organizing lectures
2023-09-20 17:55:32.878509, extracurricular programming, Review time complexity!
2023-10-04 16:12:47.081265, school programming, Study Time Complexity
2023-10-04 16:51:26.008055, school programming, Study upper/lower bounds
2023-10-04 19:13:11.488712, school programming, Study Insertion Sorting
2023-10-04 23:39:05.512711, odin, Etch a sketch making!
2023-10-04 23:39:17.530769, odin, etch a sketch making part 2!!!
2023-10-05 12:45:25.423562, school programming, Study quick sort
2023-10-05 13:28:07.089106, school programming, Study quick sort
2023-10-05 14:05:35.467803, school programming, Code quicksort
2023-10-05 14:54:30.108935, school programming, code quicksort
2023-10-05 15:05:50.487585, school programming, code quicksort
2023-10-05 16:41:06.926805, odin, Work on etch a sketch
2023-10-05 17:07:05.160680, odin, Etch a sketch
2023-10-05 17:32:38.385819, odin, Finish etch a sketch
2023-10-06 20:53:53.341684, odin, Read object documentation
2023-10-07 13:32:51.883698, extracurricular programming, Reading Python Documentation
2023-10-07 14:02:06.493021, testing, testing this stillw orks lmfao
2023-10-07 14:07:19.560028, testing, testing
2023-10-07 14:18:27.305753, testing, testing
2023-10-07 14:18:47.934315, testing, does this thing work
2023-10-07 14:22:27.079114, testing, Showed this app to my mom!
2023-10-07 17:31:42.716666, extracurricular programming, Add timer function to good_job
2023-10-07 18:08:47.637589, testing, add main and pomodorotype
2023-10-07 18:11:05.590707, testing, Edit some stuff
2023-10-07 18:14:03.196402, extracurricular programming, Add main pomodoro type selector to good_job
2023-10-08 14:24:15.812982, testing, testing countdown
2023-10-08 14:27:22.623580, testing, testing
2023-10-08 14:28:36.157117, testing, asdf
2023-10-08 14:29:15.338155, testing, adfasdf
2023-10-08 14:55:13.628638, extracurricular programming, Finish timer logging functionality for good_job; research matplotlib
2023-10-08 15:59:41.447794, extracurricular programming, Resarch matplotlib; pandas; seaborn. Start grapher.py
2023-10-08 16:54:58.990635, extracurricular programming, Add countplot functionality to grapher
2023-10-08 19:54:10.245542, extracurricular programming, Research pandas
2023-10-09 12:07:25.210272, school programming, Pseudocode quicksort; cloen data structures repo to github
2023-10-09 12:44:47.472468, school programming, Define medianOfThree; pivotToEnd; getItemFromLeft; in the quickSort algo
2023-10-09 13:20:13.191904, school programming, finish itemFromLeft and itemFromRight in quicksort
2023-10-09 13:52:38.030957, school programming, Finiosh swapIndex function change itemFromLeft and itemFromRight to work with swapIndex
2023-10-09 14:27:32.667250, school programming, Work on recursion for quicksort
2023-10-09 16:22:20.831339, odin, Watch Wes Bos javascript array practice
2023-10-09 17:06:42.450399, odin, watch array video; array exercises
2023-10-09 17:51:25.454514, odin, javascript exercises
2023-10-10 19:16:44.183533, odin, Odin exercises
2023-10-11 16:21:49.668162, school programming, Change medianOfThree to return indexes and not item values
2023-10-12 22:43:42.395299, odin, Add arithmetic and operate functions to JS calculator
2023-10-13 09:16:20.305073, odin, Odin calculator html; css
2023-10-13 09:44:14.313996, odin, Create calculator frame; add buttons; style calculator
2023-10-13 10:15:23.118119, odin, Style calculator
2023-10-13 10:54:42.433609, odin, Figure out how to update display
2023-10-13 11:27:09.150960, odin, add display and button functionality to calculator
2023-10-13 12:53:30.713437, odin, add operator button functionality to calculator
2023-10-14 21:56:32.113162, odin, Add clear button functionality to calculator
2023-10-15 23:17:22.468518, testing, testing; commas
2023-10-16 12:23:11.487465, odin, pseudocode calculator
2023-10-16 12:59:20.265660, odin, add regex to calculator to parse data
2023-10-16 13:57:31.485544, odin, Add calculate short and length check functionality to calculator; improve on calculateLong
2023-10-16 15:11:57.931384, odin, add calculatelong functionality
2023-10-16 19:27:47.359921, odin, Finished calculator! Starting intermediate html and css
2023-10-17 15:43:11.010439, odin, learning about emmet and svgs
2023-10-17 16:52:02.903164, odin, take notes on SVG; XML; Emmet
2023-10-17 17:40:59.332248, odin, Learn about tables and default styles
2023-10-18 22:46:19.199739, odin, REad about CSS properties
2023-10-19 13:55:09.033488, odin, CSS advanced selectors
2023-10-19 14:59:18.892004, odin, Pseudoclasses; pseudoelements; attribute selectors
2023-10-19 15:57:01.572512, odin, things
2023-10-19 19:29:07.872137, odin, CSS positioning
2023-10-19 21:19:19.046818, odin, CSS functions and custom properties
2023-10-20 14:57:24.457971, odin, Learn about CSS variables
2023-10-20 15:42:21.564158, odin, Read about frameworks and preprocessors
2023-10-20 16:23:07.761999, odin, Learn about forms and form controls
2023-10-20 22:55:54.794525, odin, Learn input types
2023-10-21 22:41:01.193910, extracurricular programming, Add countPlotLastThirtY()
2023-10-22 21:53:36.744970, extracurricular programming, Change last thirty from a countplot to a histoplot; hello world tkinter
2023-10-23 17:13:36.846469, odin, Notes on buttons and forms; practicing basic form
2023-10-23 18:07:55.736612, odin, Odin Forms
2023-10-24 15:52:03.369514, odin, form validation
2023-10-24 16:33:39.120322, odin, Read form validation articles
2023-10-24 18:08:58.830163, odin, format divs for form page
2023-10-24 18:56:30.893461, odin, add images and formatting to sign up page
2023-10-25 19:53:26.202929, odin, Style CSS signup form
2023-10-25 22:34:21.025294, odin, Continue styling signup form
2023-10-26 22:05:51.953109, odin, Study grid
2023-11-09 20:30:28.323468, testing, sasdf
2023-11-09 20:30:41.894813, testing, asdkfl;
2023-11-09 21:10:31.636171, extracurricular programming, add button functionality for histplot and countplots; fix import bug
